time,CUM_WTR
2010-04-01,0.0
2010-05-01,1299.0
2010-06-01,2977.0
2010-07-01,4146.0
2010-08-01,6489.0
2010-09-01,7712.0
2010-10-01,8790.0
2010-11-01,9258.0
2010-12-01,9557.0
2011-01-01,9644.0
2011-02-01,10380.0
2011-03-01,11888.0
2011-04-01,13065.0
2011-05-01,13065.0
2011-06-01,13103.0
2011-07-01,13701.0
2011-08-01,14115.0
2011-09-01,15163.0
2011-10-01,16210.0
2011-11-01,17030.0
2011-12-01,17852.0
2012-01-01,18588.0
2012-02-01,19418.0
2012-03-01,20011.0
2012-05-01,20011.0
2012-06-01,20031.0
2012-07-01,20479.0
2012-08-01,21152.0
2012-09-01,21738.0
2012-10-01,22224.0
2012-11-01,22254.0
2012-12-01,22314.0
2013-01-01,22418.0
2013-02-01,22423.0
2013-03-01,22460.0
2013-04-01,22466.0
2013-05-01,22466.0
2013-06-01,22742.0
2013-07-01,22780.0
2013-11-01,23315.0
2013-12-01,23648.0
2014-01-01,24041.0
2014-02-01,24568.0
2014-03-01,24990.0
2014-04-01,25424.0
2014-05-01,25755.0
2014-06-01,26031.0
2014-07-01,26231.0
2014-08-01,26393.0
2014-09-01,27549.0
2014-10-01,27686.0
2014-11-01,27957.0
2014-12-01,27962.0
2015-03-01,27982.0
2015-05-01,30041.0
2015-06-01,30965.0
2015-07-01,31942.0
2015-08-01,31952.0
2015-09-01,32700.0
2015-10-01,32776.0
2015-11-01,32776.0
2015-12-01,37328.0
2016-01-01,40372.0
2016-02-01,42727.0
2016-03-01,44656.0
2016-04-01,46393.0
2016-05-01,48189.0
2016-06-01,49964.0
2016-07-01,51385.0
2016-08-01,52840.0
2016-09-01,53841.0
2016-10-01,53966.0
2016-11-01,54713.0
2017-01-01,56171.0
2017-02-01,58821.0
2017-03-01,59853.0
2017-04-01,60078.0
2017-05-01,62267.0
2017-06-01,64613.0
2017-07-01,67325.0
2017-08-01,68951.0
2017-09-01,70483.0
2017-10-01,71902.0
2017-11-01,72795.0
2017-12-01,73595.0
2018-01-01,73748.0
2018-02-01,75008.0
2018-03-01,76099.0
2018-04-01,77326.0
2018-05-01,78553.0
2018-06-01,79780.0
2018-07-01,80838.0
2018-08-01,84221.0
2018-09-01,85303.0
2018-10-01,86495.0
2018-11-01,86517.0
2018-12-01,87189.0
2019-01-01,88055.0
2019-02-01,88769.0
2019-03-01,88869.0
2019-05-01,90087.0
2019-06-01,91156.0
2019-07-01,91829.0
2019-08-01,92424.0
2019-09-01,93035.0
2019-10-01,93716.0
2019-11-01,94351.0
2019-12-01,94955.0
2020-01-01,95576.0
2020-02-01,96124.0
2020-03-01,96676.0
2020-04-01,97613.0
2020-05-01,97816.0
2020-08-01,98417.0
