time,CUM_OIL
2010-10-01,0.0
2010-11-01,18442.0
2010-12-01,36834.0
2011-01-01,47903.0
2011-02-01,55625.0
2011-03-01,62999.0
2011-04-01,68804.0
2011-05-01,72280.0
2011-06-01,76090.0
2011-07-01,82327.0
2011-08-01,87351.0
2011-09-01,91623.0
2011-10-01,95495.0
2011-11-01,99386.0
2011-12-01,103079.0
2012-01-01,106560.0
2012-02-01,109874.0
2012-03-01,113211.0
2012-04-01,115713.0
2012-05-01,118076.0
2012-06-01,119890.0
2012-07-01,123616.0
2012-08-01,126956.0
2012-09-01,133052.0
2012-10-01,135636.0
2012-11-01,137775.0
2012-12-01,139866.0
2013-01-01,141295.0
2013-02-01,142668.0
2013-03-01,144268.0
2013-04-01,146053.0
2013-05-01,147858.0
2013-06-01,150061.0
2013-07-01,151697.0
2013-08-01,153424.0
2013-09-01,155140.0
2013-10-01,157064.0
2013-11-01,158608.0
2013-12-01,160806.0
2014-01-01,160999.0
2014-02-01,166048.0
2014-03-01,168983.0
2014-04-01,171325.0
2014-05-01,173186.0
2014-06-01,174673.0
2014-07-01,176144.0
2014-08-01,178114.0
2014-09-01,180108.0
2014-10-01,181807.0
2014-11-01,183162.0
2014-12-01,184317.0
2015-01-01,185363.0
2015-02-01,186346.0
2015-03-01,187573.0
2015-04-01,188688.0
2015-05-01,189619.0
2015-06-01,190537.0
2015-07-01,191507.0
2015-08-01,192598.0
2015-09-01,192625.0
2015-10-01,196063.0
2015-11-01,199087.0
2015-12-01,201487.0
2016-01-01,203344.0
2016-02-01,204841.0
2016-03-01,206249.0
2016-04-01,207345.0
2016-05-01,208333.0
2016-06-01,209796.0
2017-02-01,209922.0
2017-03-01,215471.0
2017-04-01,222358.0
2017-05-01,226932.0
2017-06-01,230621.0
2017-07-01,234135.0
2017-08-01,237211.0
2017-09-01,241526.0
2017-10-01,246562.0
2017-11-01,251317.0
2017-12-01,254441.0
2018-01-01,257885.0
2018-02-01,261587.0
2018-03-01,265818.0
2018-04-01,269221.0
2018-05-01,272421.0
2018-06-01,275283.0
2018-07-01,277970.0
2018-08-01,280323.0
2018-09-01,281502.0
2018-10-01,283420.0
2018-11-01,286226.0
2018-12-01,289214.0
2019-01-01,291315.0
2019-02-01,292941.0
2019-03-01,294589.0
2019-04-01,296973.0
2019-05-01,299241.0
2019-06-01,301215.0
2019-07-01,303484.0
2019-08-01,304412.0
2019-09-01,305618.0
2019-10-01,306626.0
2019-11-01,307330.0
2019-12-01,307978.0
2020-01-01,308053.0
2020-03-01,308988.0
2020-04-01,309985.0
2020-06-01,311634.0
2020-07-01,313230.0
2020-08-01,314772.0
