time,CUM_GAS
2011-03-01,0.0
2011-04-01,1423.0
2011-05-01,17526.0
2011-06-01,32980.0
2011-07-01,46431.0
2011-08-01,59187.0
2011-09-01,68999.0
2011-10-01,80804.0
2011-11-01,91192.0
2011-12-01,101417.0
2012-01-01,110225.0
2012-02-01,116992.0
2012-03-01,123641.0
2012-04-01,131358.0
2012-05-01,137525.0
2012-06-01,142755.0
2012-07-01,147529.0
2012-08-01,154783.0
2012-09-01,159619.0
2012-10-01,164491.0
2012-11-01,169050.0
2012-12-01,173635.0
2013-01-01,178043.0
2013-02-01,181830.0
2013-03-01,185970.0
2013-04-01,189754.0
2013-05-01,191407.0
2013-07-01,196723.0
2013-08-01,200878.0
2013-09-01,205051.0
2013-10-01,208780.0
2013-11-01,210979.0
2013-12-01,213908.0
2014-01-01,218369.0
2014-02-01,222392.0
2014-03-01,226418.0
2014-04-01,229822.0
2014-05-01,231366.0
2014-06-01,235373.0
2014-07-01,239449.0
2014-08-01,242776.0
2014-09-01,245040.0
2014-10-01,247327.0
2014-11-01,250083.0
2014-12-01,250966.0
2015-01-01,253747.0
2015-02-01,255963.0
2015-03-01,257585.0
2015-04-01,258223.0
2015-05-01,261835.0
2015-06-01,264333.0
2015-07-01,266138.0
2015-08-01,267994.0
2015-09-01,270084.0
2015-10-01,271178.0
2015-11-01,272170.0
2015-12-01,272328.0
2016-02-01,274945.0
2016-03-01,277766.0
2016-04-01,280361.0
2016-05-01,280368.0
2016-07-01,302593.0
2016-08-01,330785.0
2016-09-01,357982.0
2016-10-01,387499.0
2016-11-01,409222.0
2016-12-01,426570.0
2017-01-01,448192.0
2017-02-01,469735.0
2017-03-01,489402.0
2017-04-01,504890.0
2017-05-01,518012.0
2017-06-01,527862.0
2017-07-01,528311.0
2017-08-01,531876.0
2017-09-01,538345.0
2017-10-01,543779.0
2017-11-01,549289.0
2017-12-01,554282.0
2018-01-01,558553.0
2018-02-01,561712.0
2018-03-01,566419.0
2018-04-01,569876.0
2018-05-01,572982.0
2018-06-01,573688.0
2018-08-01,574593.0
2018-09-01,575955.0
2018-10-01,576959.0
2018-11-01,578781.0
2018-12-01,580416.0
2019-01-01,581941.0
2019-02-01,582350.0
2019-04-01,583482.0
2019-05-01,585894.0
2019-06-01,587738.0
2019-07-01,587934.0
2019-10-01,589591.0
2019-11-01,591529.0
2019-12-01,593509.0
2020-01-01,595500.0
2020-02-01,597344.0
2020-03-01,599243.0
2020-04-01,601041.0
2020-05-01,602844.0
2020-06-01,604514.0
2020-07-01,606124.0
2020-08-01,607689.0
